"","X","screen_name","username","user_id","tweet_id","tweet_url","timestamp","timestamp_epochs","text","text_html","links","hashtags","has_media","img_urls","video_url","likes","retweets","replies","is_replied","is_reply_to","parent_tweet_id","reply_to_users","data$tweet_id"
"1",0,"Andre_kim7","Andre Dae Kim",369828955,1223382162436698112,"/Andre_kim7/status/1223382162436698112","2020-01-31 23:06:51",1580512011,"Just a reminder that the corona virus will blow over.                                           All that stupid anti Asian shit you said? Will not.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Just a reminder that the corona <strong>virus</strong> will blow over.                                           All that stupid <strong>anti</strong> <strong>Asian</strong> shit you said? Will not.</p>","[]","[]","False","[]",NA,87,15,2,"True","False",NA,"[]",1223382162436698112
"2",1,"Paracelsus","Para",329811439,1223325682924773376,"/Paracelsus/status/1223325682924773377","2020-01-31 19:22:25",1580498545,"Director of WHO praising China’s response to the virus and saying the actual risks are posed by other countries; but our racist news media will continue hystericizing China & enabling more anti-Asian racism from Westerners in the process","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Director of WHO praising China’s response to the <strong>virus</strong> and saying the actual risks are posed by other countries; but our racist news media will continue hystericizing China &amp; enabling more <strong>anti</strong>-<strong>Asian</strong> racism from Westerners in the process</p>","[]","[]","False","[]",NA,7,3,0,"False","False",NA,"[]",1223325682924773376
"3",2,"FlyLikeJayy","Alex Caruso’s Barber",225989587,1223312482636193792,"/FlyLikeJayy/status/1223312482636193792","2020-01-31 18:29:58",1580495398,"I haven’t seen any anti Asian racist jokes about the corona virus. I’ve seen about 8 of these though https://twitter.com/catcontentonly/status/1222999243981455361 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">I haven’t seen any <strong>anti</strong> <strong>Asian</strong> racist jokes about the corona <strong>virus</strong>. I’ve seen about 8 of these though <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/catcontentonly/status/1222999243981455361"" dir=""ltr"" href=""https://t.co/El66q3sz8K"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/catcontentonly/status/1222999243981455361""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/catcontentonly</span><span class=""invisible"">/status/1222999243981455361</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['https://twitter.com/catcontentonly/status/1222999243981455361']","[]","False","[]",NA,3,0,0,"False","False",NA,"[]",1223312482636193792
"4",3,"bluoside","♡",2943823618,1223281169015492608,"/bluoside/status/1223281169015492609","2020-01-31 16:25:32",1580487932,"this anti-asian racism in relation to the corona virus scare reminds me of the antiblackness in relation to the ebola scare a few years ago, maybe if y’all uglies just minded ur business and let actual doctors and scientists handle it instead of spreading misinformation","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">this <strong>anti</strong>-<strong>asian</strong> racism in relation to the corona <strong>virus</strong> scare reminds me of the antiblackness in relation to the ebola scare a few years ago, maybe if y’all uglies just minded ur business and let actual doctors and scientists handle it instead of spreading misinformation</p>","[]","[]","False","[]",NA,4,1,0,"False","False",NA,"[]",1223281169015492608
"5",4,"rich_wilson96","Rich 🥝",714927118170374144,1223266813187952640,"/rich_wilson96/status/1223266813187952643","2020-01-31 15:28:30",1580484510,"Am actual sick of this tbh. The corona virus is not an excuse for you to spout your anti Asian racism. Influenza has and will continue to kill a lot more. 413,000 measles cases confirmed last year but because those are largely carried by whites it’s not funny right.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Am actual sick of this tbh. The corona <strong>virus</strong> is not an excuse for you to spout your <strong>anti</strong> <strong>Asian</strong> racism. Influenza has and will continue to kill a lot more. 413,000 measles cases confirmed last year but because those are largely carried by whites it’s not funny right.</p>","[]","[]","False","[]",NA,3,0,0,"False","False",NA,"[]",1223266813187952640
"6",5,"ericaceous_","erca",2768166687,1223245176728182784,"/ericaceous_/status/1223245176728182788","2020-01-31 14:02:31",1580479351,"the anti-asian and specially anti-chinese rhetoric coming from discussions and articles of the corona virus is actually disgusting","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">the <strong>anti</strong>-<strong>asian</strong> and specially <strong>anti</strong>-chinese rhetoric coming from discussions and articles of the corona <strong>virus</strong> is actually disgusting</p>","[]","[]","False","[]",NA,0,0,0,"False","False",NA,"[]",1223245176728182784
"7",6,"corviiid","catboy felix's jorts with the tail slot 🍳 @ P5R",793014090893434880,1223234456619646976,"/corviiid/status/1223234456619646976","2020-01-31 13:19:55",1580476795,"oh i am so tired of being polite! if you are engaging in anti-chinese/anti-asian rhetoric because of this virus, go fuck yourself! block me if you even go near that ideology! and anyone who replies to this tweet with some fuckshit about this, may you drop your wallet in a sewer","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">oh i am so tired of being polite! if you are engaging in <strong>anti</strong>-chinese/<strong>anti</strong>-<strong>asian</strong> rhetoric because of this <strong>virus</strong>, go fuck yourself! block me if you even go near that ideology! and anyone who replies to this tweet with some fuckshit about this, may you drop your wallet in a sewer</p>","[]","[]","False","[]",NA,2395,787,21,"True","False",NA,"[]",1223234456619646976
"8",7,"Hologramaquila","Aquila @Home",1134598110888505344,1223197752072515584,"/Hologramaquila/status/1223197752072515585","2020-01-31 10:54:04",1580468044,"The anti-Asian racism in this company tho??

The way they treat people from Asia now because of the virus, I'm so furious","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The <strong>anti</strong>-<strong>Asian</strong> racism in this company tho??

The way they treat people from Asia now because of the <strong>virus</strong>, I'm so furious</p>","[]","[]","False","[]",NA,1,0,1,"True","False",NA,"[]",1223197752072515584
"9",8,"SarahLouisaTYO","Sarah Louisa",1110753956739858432,1223173854270353408,"/SarahLouisaTYO/status/1223173854270353408","2020-01-31 09:19:06",1580462346,"Upsetting to read that “there have also been reports of anti-Asian racism in the UK.” Let’s hope my Chinese and Japanese students studying abroad this week don’t experience this  

Spate of anti-Chinese incidents in Italy as two cases of virus confirmed https://www.theguardian.com/world/2020/jan/31/spate-of-anti-chinese-incidents-in-italy-amid-coronavirus-panic?CMP=share_btn_tw …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Upsetting to read that “there have also been reports of <strong>anti</strong>-<strong>Asian</strong> racism in the UK.” Let’s hope my Chinese and Japanese students studying abroad this week don’t experience this <img alt=""🤞"" aria-label=""Emoji: Crossed fingers"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f91e.png"" title=""Crossed fingers""/> 

Spate of <strong>anti</strong>-Chinese incidents in Italy as two cases of <strong>virus</strong> confirmed <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.theguardian.com/world/2020/jan/31/spate-of-anti-chinese-incidents-in-italy-amid-coronavirus-panic?CMP=share_btn_tw"" dir=""ltr"" href=""https://t.co/OJBpReu5Ph"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.theguardian.com/world/2020/jan/31/spate-of-anti-chinese-incidents-in-italy-amid-coronavirus-panic?CMP=share_btn_tw""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">theguardian.com/world/2020/jan</span><span class=""invisible"">/31/spate-of-anti-chinese-incidents-in-italy-amid-coronavirus-panic?CMP=share_btn_tw</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['https://www.theguardian.com/world/2020/jan/31/spate-of-anti-chinese-incidents-in-italy-amid-coronavirus-panic?CMP=share_btn_tw']","[]","False","[]",NA,0,0,0,"False","False",NA,"[]",1223173854270353408
"10",9,"paul_laughlan","zopalok",1203381682222620672,1223169499941232640,"/paul_laughlan/status/1223169499941232640","2020-01-31 09:01:48",1580461308,"Anti-asian racism because of Corona virus hints at the possibility that the virus has a higher iq than racists","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Anti</strong>-<strong>asian</strong> racism because of Corona <strong>virus</strong> hints at the possibility that the <strong>virus</strong> has a higher iq than racists</p>","[]","[]","False","[]",NA,0,0,0,"False","False",NA,"[]",1223169499941232640
